#x,y,z,f,dx,dy,dz,k,s
0.791652,0.003799,3.201770,1000.000000,-0.092352,-0.246815,-0.964652,1.000000,0.146075
0.609652,0.003799,2.487770,1000.000000,0.421524,-0.104226,-0.900808,1.000000,0.146075
1.634652,0.003799,2.677770,1000.000000,0.763867,-0.062544,-0.642336,1.000000,0.146075
1.463652,0.003799,2.527770,1000.000000,0.639188,0.038606,-0.768081,1.000000,0.146075
1.223652,0.003799,2.204770,1000.000000,-0.411509,-0.196280,-0.890020,1.000000,0.146075
0.464652,0.003799,1.596770,1000.000000,-0.676504,0.011961,-0.736341,1.000000,0.146075
1.790652,0.003799,1.333770,1000.000000,-0.616135,-0.103106,-0.780863,1.000000,0.153246
1.809652,0.003799,0.804770,1000.000000,0.039173,-0.651864,-0.757324,1.000000,0.200752
1.012652,0.003799,0.769770,1000.000000,0.585543,-0.102137,0.804181,1.000000,0.150000
1.400652,0.003799,0.195770,1000.000000,-0.016319,0.081875,-0.996509,1.000000,0.153246
