#x,y,z,f,dx,dy,dz,k,s
0.805652,0.002201,2.849770,1000.000000,0.568927,-0.693723,-0.441669,1.000000,0.131123
0.269652,0.038201,3.206769,1000.000000,-0.874466,-0.264187,-0.406834,1.000000,0.177963
1.285652,0.003799,2.523770,1000.000000,-0.703275,-0.046671,-0.709384,1.000000,0.153246
2.042652,0.003799,0.986770,1000.000000,-0.384876,-0.322949,0.864624,1.000000,0.200752
1.212652,0.003799,1.768770,1000.000000,0.530283,-0.110167,-0.840632,1.000000,0.177963
0.260652,0.003799,1.348770,1000.000000,-0.296508,-0.951682,-0.079905,1.000000,0.153246
1.829652,0.003799,1.567770,1000.000000,0.150051,-0.160318,-0.975594,1.000000,0.153246
1.823652,0.003799,0.202770,1000.000000,0.713874,-0.046289,-0.698743,1.000000,0.177963
0.464652,0.003799,1.596770,1000.000000,-0.676504,0.011961,-0.736341,1.000000,0.146075
1.809652,0.003799,0.804770,1000.000000,-0.715567,-0.177602,0.675590,1.000000,0.200752
