#x,y,z,f,dx,dy,dz,k,s,m
0.841872,0.005000,0.200000,1000.000000,-0.000000,-0.000000,-1.000000,1.000000,0.125000,0
1.641872,0.005000,0.200000,1000.000000,0.000000,0.000000,-1.000000,1.000000,0.125000,0
0.841872,0.005000,1.375000,1000.000000,0.421010,-0.036834,-0.906308,1.000000,0.125000,0
1.441872,0.005000,1.375000,1000.000000,-0.771625,0.000000,0.636078,1.000000,0.125000,0
1.241872,0.005000,0.800000,1000.000000,-0.329229,-0.055094,-0.942641,1.000000,0.125000,0
1.011872,0.002000,2.195000,1000.000000,-0.993572,0.000000,-0.113204,1.000000,0.125000,0
1.121872,-0.001000,2.670000,1000.000000,-0.280896,-0.041980,-0.958820,1.000000,0.150000,0
1.291872,0.001000,3.180000,1000.000000,0.320116,-0.059330,-0.945519,1.000000,0.200000,0
