#x,y,z,f,dx,dy,dz,k,s,m
1.745652,0.027201,2.077770,1000.000000,-0.654393,-0.700152,0.285582,1.000000,0.118535,0
1.014652,0.003799,1.789770,1000.000000,-0.675694,-0.279881,-0.681985,1.000000,0.154828,0
1.014652,0.003799,1.984770,1000.000000,-0.710891,-0.461658,-0.530571,1.000000,0.154828,0
1.047652,0.003799,1.377770,1000.000000,-0.802127,-0.463109,-0.376991,1.000000,0.154828,0
1.413652,0.003799,0.797770,1000.000000,0.592652,-0.040616,-0.804434,1.000000,0.153246,0
1.644652,0.003799,3.177770,1000.000000,0.120773,-0.506068,-0.853996,1.000000,0.177963,0
0.941652,0.003799,2.725770,1000.000000,-0.485406,-0.630746,-0.605425,1.000000,0.177963,0
0.801166,0.003488,0.200041,1000.000000,0.163597,0.126640,-0.978365,1.000000,0.153246,0
0.247162,0.003489,1.033070,1000.000000,-0.787201,-0.278762,0.550096,1.000000,0.164768,0
