#X,Y,Z
-0.152800,0.948370,2.269912
-0.162103,0.797799,2.275112
-0.162007,0.720882,2.277005
-0.160959,0.483201,2.274534
-0.158506,0.155210,2.262732
0.042725,0.685949,2.312992
-0.367914,0.665011,2.267146
-0.073197,0.154567,2.233518
-0.238596,0.150636,2.217124
0.267552,0.666731,2.319805
-0.609402,0.614854,2.274121
0.535013,0.692585,2.270396
-0.866354,0.616836,2.220983
0.702525,0.712531,2.241711
-1.043111,0.623735,2.206304
-0.047625,-0.324131,2.284225
-0.287789,-0.331945,2.271429
-0.021061,-0.677930,2.278055
-0.326713,-0.684512,2.255129
0.005247,-0.761231,2.193191
-0.359108,-0.755082,2.157493
-0.020800,-0.732058,2.276497
-0.326466,-0.735759,2.253654
