#x,y,z,f,dx,dy,dz,k,s
1.228652,0.003799,1.008770,1000.000000,0.660159,-0.113756,0.742462,1.000000,0.153246
2.195652,0.003799,1.571770,1000.000000,-0.702809,-0.070132,-0.707913,1.000000,0.177963
1.613652,0.003799,0.216770,1000.000000,-0.020956,-0.049366,-0.998561,1.000000,0.154828
2.208652,0.003799,0.400770,1000.000000,0.162133,-0.009476,-0.986723,1.000000,0.154828
1.809652,0.003799,0.804770,1000.000000,0.039173,-0.651864,-0.757324,1.000000,0.200752
1.014652,0.003799,1.789770,1000.000000,-0.435970,-0.045822,-0.898794,1.000000,0.154828
1.914652,0.027201,1.887770,1000.000000,0.184327,-0.819897,-0.542027,1.000000,0.118535
1.400652,0.003799,1.960770,1000.000000,-0.303515,0.000000,-0.952827,1.000000,0.177963
1.786652,0.003799,2.739769,1000.000000,-0.075048,-0.486295,-0.870566,1.000000,0.146075
1.236652,0.003799,2.859770,1000.000000,0.211161,-0.075234,-0.974552,1.000000,0.150000
1.281652,0.003799,3.213769,1000.000000,0.123871,-0.469035,-0.874450,1.000000,0.177963
