#x,y,z,f,dx,dy,dz,k,s
0.631652,0.003799,1.377770,1000.000000,-0.711157,-0.157660,-0.685127,1.000000,0.154828
1.012652,0.003799,0.769770,1000.000000,0.681573,-0.005948,0.731726,1.000000,0.150000
1.400652,0.003799,0.195770,1000.000000,-0.016319,0.081875,-0.996509,1.000000,0.153246
2.032652,0.003799,0.201770,1000.000000,-0.031023,0.006792,-0.999496,1.000000,0.141444
1.028652,0.003799,0.201770,1000.000000,-0.020792,0.066564,-0.997566,1.000000,0.141444
0.235166,0.003488,0.202040,1000.000000,-0.059034,0.111453,-0.992015,1.000000,0.141444
1.790652,0.003799,1.333770,1000.000000,-0.837877,-0.140212,-0.527544,1.000000,0.153246
1.829652,0.003799,1.567770,1000.000000,0.038214,-0.128143,-0.991019,1.000000,0.153246
0.992652,0.003799,2.165770,1000.000000,0.440611,-0.460080,-0.770836,1.000000,0.154828
1.987652,0.003799,2.203770,1000.000000,-0.225475,-0.698056,-0.679617,1.000000,0.142157
0.941652,0.003799,2.725770,1000.000000,-0.245993,0.000000,-0.969272,1.000000,0.177963
1.644652,0.003799,3.177770,1000.000000,0.120773,-0.506068,-0.853996,1.000000,0.177963
1.780652,0.003799,3.352770,1000.000000,-0.104528,0.000000,-0.994522,1.000000,0.177963
