#x,y,z,f,dx,dy,dz,k,s
1.596652,0.04020128,1.88577,1000,-0.1722836,-0.9841675,-0.04162637,1,0.1414441
1.781652,0.003798723,2.86777,1000,0.05589532,-0.002402652,-0.9984338,1,0.1414441
1.625652,0.003798723,2.52777,1000,-0.006791138,-0.1151655,-0.9933231,1,0.1414441
1.211652,0.003798723,1.55677,1000,-0.03614814,-0.2127243,-0.9764434,1,0.1414441
1.211652,0.003798723,0.5977696,1000,-0.002380325,-0.04984741,-0.998754,1,0.1414441
2.195652,0.003798723,1.37677,1000,-0.5902215,-0.8066722,-0.03030685,1,0.1779628
0.3906521,0.003798723,1.39777,1000,0.5898477,-0.7768738,-0.2203332,1,0.1340587
2.042652,0.003798723,0.9867696,1000,0.05687163,-0.9370081,-0.344647,1,0.2007522
0.4416521,0.003798723,1.32177,1000,-0.3079448,-0.77886,0.5463948,1,0.1340587
0.7916521,0.003798723,3.20177,1000,-0.09235217,-0.2468152,-0.9646519,1,0.1460752
1.006166,0.003487587,1.00904,1000,0.03351637,-0.113025,-0.9930267,1,0.1532457
0.235166,0.003487587,0.2020405,1000,-0.05903381,0.1114533,-0.9920147,1,0.1414441
