#x,y,z,f,dx,dy,dz,k,s
1.461652,0.003798723,3.332769,1000,-0.1134397,-0.6089439,-0.7850598,1,0.1779628
0.633652,0.003798723,1.58677,1000,0.161986,-0.9867894,0.002700381,1,0.1548276
1.600652,0.003798723,0.5977696,1000,0.02813997,-0.03258994,-0.9990726,1,0.1414441
1.215652,0.003798723,0.8077696,1000,-0.6286405,-0.02565438,-0.7772728,1,0.15
1.212652,0.003798723,1.76877,1000,-0.004123632,-0.9997696,-0.02106393,1,0.1779628
0.9416521,0.003798723,2.72577,1000,0.04976355,-0.9759281,-0.2123395,1,0.1779628
1.028652,0.003798723,0.2017696,1000,-0.02079166,0.06656414,-0.9975655,1,0.1414441
1.012652,0.003798723,0.7697696,1000,0.06276959,-0.9961924,-0.06050417,1,0.15
1.400652,0.003798723,0.1957696,1000,-0.01631863,0.08187533,-0.996509,1,0.1532457
